Country,Event,Event Link,Event Logo,Country Link,Country Logo,Artist,Artist Link,Song,Song Link,Flag
Israel,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/israel,https://static.eurovision.tv/hb-cgi/images/8d93886a-4c64-40a7-8e95-ad0732715a38.svg,Harel Skaat,https://eurovision.tv/participant/harel-skaat,Milim,https://youtube.com/watch?v=GelsXCyV5Nk,0
Latvia,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/latvia,https://static.eurovision.tv/hb-cgi/images/8d938866-37b5-494b-bf22-b216ab1d8fce.svg,Aisha,https://eurovision.tv/participant/aisha,What For?,https://youtube.com/watch?v=eUeZlgeUmp0,0
Lithuania,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/lithuania,https://static.eurovision.tv/hb-cgi/images/8d938867-7e59-4252-979c-a9f152caa024.svg,InCulto,https://eurovision.tv/participant/inculto,Eastern European Funk,https://youtube.com/watch?v=ab9C0klYilw,0
Malta,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/malta,https://static.eurovision.tv/hb-cgi/images/8d9387f2-8d60-494e-bd92-0d201e17c376.svg,Thea Garrett,https://eurovision.tv/participant/thea-garrett,My Dream,https://youtube.com/watch?v=0OToHVvkBfY,0
Moldova,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/moldova,https://static.eurovision.tv/hb-cgi/images/8d938863-f530-484c-9b17-ff4a299bac5d.svg,Sunstroke Project & Olia Tira,https://eurovision.tv/participant/sunstroke-project-olia-tira,Run Away,https://youtube.com/watch?v=ECyeUYsU14E,0
North Macedonia,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/fyr-macedonia,https://static.eurovision.tv/hb-cgi/images/8d938863-a50c-4ded-8acf-3205851eae1f.svg,Gjoko Taneski,https://eurovision.tv/participant/gjoko-taneski,Jas Ja Imam Silata,https://youtube.com/watch?v=nLU4SI6WFc4,0
Norway,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/norway,https://static.eurovision.tv/hb-cgi/images/8d9387de-68de-403d-b3d0-1bdcf1c361e6.svg,Didrik Solli-Tangen,https://eurovision.tv/participant/didrik-solli-tangen,My Heart Is Yours,https://youtube.com/watch?v=B7cf9IVvovE,0
Poland,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/poland,https://static.eurovision.tv/hb-cgi/images/8d9387d4-cc6f-437f-a646-cb3bde395dc2.svg,Marcin Mroziński,https://eurovision.tv/participant/marcin-mrozinski,Legenda,https://youtube.com/watch?v=VTThFPoEZA0,0
Portugal,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/portugal,https://static.eurovision.tv/hb-cgi/images/8d9387d4-255c-4052-b159-b62ef4ea2394.svg,Filipa Azevedo,https://eurovision.tv/participant/filipa-azevedo,Há Dias Assim,https://youtube.com/watch?v=wNngyFnyaPM,0
Romania,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/romania,https://static.eurovision.tv/hb-cgi/images/8d9a45ac-baef-4080-a24a-1afa3361e0ec.svg,Paula Seling & Ovi,https://eurovision.tv/participant/paula-seling-ovi,Playing With Fire,https://youtube.com/watch?v=K8iALS6-l7c,0
Russia,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/russia,https://static.eurovision.tv/hb-cgi/images/8d9387d3-056c-418a-a660-c192add9a5b9.svg,Peter Nalitch & Friends,https://eurovision.tv/participant/peter-nalitch-friends,Lost And Forgotten,https://youtube.com/watch?v=a-IhsDVq-NQ,0
Serbia,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/serbia,https://static.eurovision.tv/hb-cgi/images/8d9387d0-c64f-4ab5-bd48-6fb25e5b343d.svg,Milan Stanković,https://eurovision.tv/participant/milan-stankovic,Ovo Je Balkan,https://youtube.com/watch?v=4xKeYFkB9Pw,0
Slovakia,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/slovakia,https://static.eurovision.tv/hb-cgi/images/8d9387cf-e1f3-4a73-bc96-bc9a59cb60a4.svg,Kristina Pelakova,https://eurovision.tv/participant/kristina-pelakova,Horehronie,https://youtube.com/watch?v=kghCqyMLPFA,0
Slovenia,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/slovenia,https://static.eurovision.tv/hb-cgi/images/8d938784-099c-474a-99fb-51ec49400899.svg,Ansambel Žlindra & Kalamari,https://eurovision.tv/participant/ansambel-zlindra-kalamari,Narodnozabavni Rock,https://youtube.com/watch?v=P7mRUZ4M1tk,0
Spain,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/spain,https://static.eurovision.tv/hb-cgi/images/8d9388b1-0d59-43b4-9777-ec7b545077f3.svg,Daniel Diges,https://eurovision.tv/participant/daniel-diges,Algo Pequeñito (Something Tiny),https://youtube.com/watch?v=IGlKLUujURk,0
Sweden,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/sweden,https://static.eurovision.tv/hb-cgi/images/8d938783-ccc9-42c9-9f74-89c607bb7dfe.svg,Anna Bergendahl,https://eurovision.tv/participant/anna-bergendahl,This Is My Life,https://youtube.com/watch?v=5P1neQKN-1k,0
Switzerland,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/switzerland,https://static.eurovision.tv/hb-cgi/images/8d9388bd-8cdd-47ae-9c14-eba17dcc8d6f.svg,Michael von der Heide,https://eurovision.tv/participant/michael-von-der-heide,Il Pleut de L'Or,https://youtube.com/watch?v=fz7IlMTq2wQ,0
The Netherlands,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/the-netherlands,https://static.eurovision.tv/hb-cgi/images/8d9387e9-8829-478f-b985-db9da30f4277.svg,Sieneke,https://eurovision.tv/participant/sieneke,Ik Ben Verliefd (Sha-la-lie),https://youtube.com/watch?v=_aARooQAfy8,0
Turkey,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/turkey,https://static.eurovision.tv/hb-cgi/images/8d938782-89b1-436d-b9ae-675e8705d167.svg,maNga,https://eurovision.tv/participant/manga,We Could Be The Same,https://youtube.com/watch?v=Pdw27j_usP0,0
Ukraine,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/ukraine,https://static.eurovision.tv/hb-cgi/images/8d9386fe-147d-4043-989b-6d8eed8c322e.svg,Alyosha,https://eurovision.tv/participant/alyosha,Sweet People,https://youtube.com/watch?v=NT9GFoRbnfc,0
United Kingdom,Oslo 2010,https://eurovision.tv/event/oslo-2010,https://static.eurovision.tv/hb-cgi/images/8d917f49-83a6-468b-ba36-0d9b688f0df5.png,https://eurovision.tv/country/united-kingdom,https://static.eurovision.tv/hb-cgi/images/8d938882-af21-4fa6-b0d6-35a5fa6a0939.svg,Josh,https://eurovision.tv/participant/josh,That Sounds Good To Me,https://youtube.com/watch?v=b8363R9XbGY,0
Albania,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/albania,https://static.eurovision.tv/hb-cgi/images/8d938a00-42af-4b60-835f-415a224a66cd.svg,Kejsi Tola,https://eurovision.tv/participant/kejsi-tola,Carry Me In Your Dreams,https://www.youtube.com/watch?v=w6Ori4A4ATo,1
Andorra,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/andorra,https://static.eurovision.tv/hb-cgi/images/8d9389ed-81c5-443e-8983-5833449c844c.svg,Susanne Georgi,https://eurovision.tv/participant/susanne-georgi,La Teva Decisió (Get A Life),https://youtube.com/watch?v=6zukfWaIggY,0
Armenia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/armenia,https://static.eurovision.tv/hb-cgi/images/8d93896f-fd4c-4afe-bd6e-9caaab1fde55.svg,Inga & Anush,https://eurovision.tv/participant/inga-anush,Jan Jan,https://youtube.com/watch?v=UF9BcOvBwfM,0
Azerbaijan,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/azerbaijan,https://static.eurovision.tv/hb-cgi/images/8d93895b-f5a2-40c3-8e80-ccb3100837fb.svg,AySel & Arash,https://eurovision.tv/participant/aysel-arash,Always,https://youtube.com/watch?v=HmA82DlI-Pc,0
Belarus,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/belarus,https://static.eurovision.tv/hb-cgi/images/8d9388bf-2507-4a4e-be3c-b3c5d0e6180f.svg,Petr Elfimov,https://eurovision.tv/participant/petr-elfimov,Eyes That Never Lie,https://youtube.com/watch?v=rTdl5BYK6OY,0
Belgium,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/belgium,https://static.eurovision.tv/hb-cgi/images/8d93893e-237b-427a-b982-a0c7d1c41fde.svg,Copycat,https://eurovision.tv/participant/copycat,Copycat,https://youtube.com/watch?v=uoCrJEqS214,0
Bosnia & Herzegovina,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/bosnia-herzegovina,https://static.eurovision.tv/hb-cgi/images/915c46b4-e671-4ecf-ac95-0b989830e10f.svg,Regina,https://eurovision.tv/participant/regina-1,Bistra Voda,https://youtube.com/watch?v=liGJ3zo8uW4,0
Bulgaria,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/bulgaria,https://static.eurovision.tv/hb-cgi/images/8d9388c1-04f7-4d41-818d-6d3bacf4253a.svg,Krassimir Avramov,https://eurovision.tv/participant/krassimir-avramov,Illusion,https://youtube.com/watch?v=8MLp-GepMY8,0
Croatia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/croatia,https://static.eurovision.tv/hb-cgi/images/8d93887c-4206-405c-bcf9-2f15ab74d1ac.svg,Igor Cukrov feat. Andrea,https://eurovision.tv/participant/igor-cukrov-feat-andrea,Lijepa Tena,https://youtube.com/watch?v=eiXiKRtjJWI,0
Cyprus,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/cyprus,https://static.eurovision.tv/hb-cgi/images/8d9388bc-39b2-4c25-ac07-51f9e63967c0.svg,Christina Metaxa,https://eurovision.tv/participant/christina-metaxa,Firefly,https://youtube.com/watch?v=tSc9ftJ-_TA,0
Czech Republic,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/czech-republic,https://static.eurovision.tv/hb-cgi/images/8d9388b8-1024-4996-b07f-f858b38d5a4d.svg,Gipsy.cz,https://eurovision.tv/participant/gipsy-cz,Aven Romale,https://youtube.com/watch?v=w3CgUmzl4sk,0
Denmark,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/denmark,https://static.eurovision.tv/hb-cgi/images/8d9388b2-4037-42a1-80d4-9d707d193b52.svg,Brinck,https://eurovision.tv/participant/brinck,Believe Again,https://youtube.com/watch?v=NN9iln4mqzo,0
Estonia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/estonia,https://static.eurovision.tv/hb-cgi/images/8d9388b0-cfa5-47fe-8d1c-ec1a9d773af2.svg,Urban Symphony,https://eurovision.tv/participant/urban-symphony,Rändajad,https://youtube.com/watch?v=fOsmEO_osXQ,0
Finland,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/finland,https://static.eurovision.tv/hb-cgi/images/8d938883-a75b-4720-8911-8e3796f2a7d1.svg,Waldo's People,https://eurovision.tv/participant/waldo-s-people,Lose Control,https://youtube.com/watch?v=Td6HeWx_6WQ,0
France,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/france,https://static.eurovision.tv/hb-cgi/images/8d938882-e456-4901-a2d2-de3b6ccc7cdb.svg,Patricia Kaas,https://eurovision.tv/participant/patricia-kaas,Et S'il Fallait Le Faire,https://youtube.com/watch?v=vzT8Q15DWOM,0
Germany,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/germany,https://static.eurovision.tv/hb-cgi/images/8d9388b6-92cc-4f05-a687-e4ebe31966cb.svg,Alex Swings Oscar Sings!,https://eurovision.tv/participant/alex-swings-oscar-sings,Miss Kiss Kiss Bang,https://youtube.com/watch?v=2FAuk8qGImA,0
Greece,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/greece,https://static.eurovision.tv/hb-cgi/images/8d93887d-4341-4b77-9c5c-7ad22f3262b3.svg,Sakis Rouvas,https://eurovision.tv/participant/sakis-rouvas-1,This Is Our Night,https://youtube.com/watch?v=BnLKQWIISJY,0
Hungary,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/hungary,https://static.eurovision.tv/hb-cgi/images/8d93887b-f81b-4766-92d1-0324884a9d2a.svg,Zoli Ádok,https://eurovision.tv/participant/zoli-adok,Dance With Me,https://youtube.com/watch?v=OCx2_mHr-T4,0
Iceland,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/iceland,https://static.eurovision.tv/hb-cgi/images/8d9a46c4-def5-4b18-b4af-375320fbac0e.svg,Yohanna,https://eurovision.tv/participant/yohanna,Is It True?,https://youtube.com/watch?v=8w97Z1iwKro,0
Ireland,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/ireland,https://static.eurovision.tv/hb-cgi/images/8d93887b-7df6-40dc-bfa5-aa99d70ac957.svg,Sinéad Mulvey & Black Daisy,https://eurovision.tv/participant/sinead-mulvey-black-daisy,Et Cetera,https://youtube.com/watch?v=cqVohtaYLeA,0
Israel,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/israel,https://static.eurovision.tv/hb-cgi/images/8d93886a-4c64-40a7-8e95-ad0732715a38.svg,Noa & Mira Awad,https://eurovision.tv/participant/noa-mira-awad,There Must Be Another Way,https://youtube.com/watch?v=RN8B1xvCxI0,0
Latvia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/latvia,https://static.eurovision.tv/hb-cgi/images/8d938866-37b5-494b-bf22-b216ab1d8fce.svg,Intars Busulis,https://eurovision.tv/participant/intars-busulis,Probka,https://youtube.com/watch?v=uubxd_8P97M,0
Lithuania,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/lithuania,https://static.eurovision.tv/hb-cgi/images/8d938867-7e59-4252-979c-a9f152caa024.svg,Sasha Son,https://eurovision.tv/participant/sasha-son,Love,https://youtube.com/watch?v=QJrPfCs8ub0,0
Malta,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/malta,https://static.eurovision.tv/hb-cgi/images/8d9387f2-8d60-494e-bd92-0d201e17c376.svg,Chiara,https://eurovision.tv/participant/chiara-2,What If We,https://youtube.com/watch?v=RsC4_7pMOSY,0
Moldova,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/moldova,https://static.eurovision.tv/hb-cgi/images/8d938863-f530-484c-9b17-ff4a299bac5d.svg,Nelly Ciobanu,https://eurovision.tv/participant/nelly-ciobanu,Hora Din Moldova,https://youtube.com/watch?v=L20oTDefNcg,0
Montenegro,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/montenegro,https://static.eurovision.tv/hb-cgi/images/8d9387ef-688e-4131-b6f9-cfc01885b6cb.svg,Andrea Demirovic,https://eurovision.tv/participant/andrea-demirovic,Just Get Out of My Life,https://youtube.com/watch?v=rw0fCiccd9U,0
North Macedonia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/fyr-macedonia,https://static.eurovision.tv/hb-cgi/images/8d938863-a50c-4ded-8acf-3205851eae1f.svg,Next Time,https://eurovision.tv/participant/next-time,Neshto Shto Ke Ostane,https://youtube.com/watch?v=AOQocxoouLg,0
Norway,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/norway,https://static.eurovision.tv/hb-cgi/images/8d9387de-68de-403d-b3d0-1bdcf1c361e6.svg,Alexander Rybak,https://eurovision.tv/participant/alexander-rybak,Fairytale,https://youtube.com/watch?v=y4D_hguWPQE,0
Poland,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/poland,https://static.eurovision.tv/hb-cgi/images/8d9387d4-cc6f-437f-a646-cb3bde395dc2.svg,Lidia Kopania,https://eurovision.tv/participant/lidia-kopania,I Don't Wanna Leave,https://youtube.com/watch?v=CKtPrmYuyzc,0
Portugal,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/portugal,https://static.eurovision.tv/hb-cgi/images/8d9387d4-255c-4052-b159-b62ef4ea2394.svg,Flor-de-lis,https://eurovision.tv/participant/flor-de-lis,Todas As Ruas Do Amor,https://youtube.com/watch?v=9AgNjqGFMQo,0
Romania,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/romania,https://static.eurovision.tv/hb-cgi/images/8d9a45ac-baef-4080-a24a-1afa3361e0ec.svg,Elena,https://eurovision.tv/participant/elena,The Balkan Girls,https://youtube.com/watch?v=0kizLKALHm4,0
Russia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/russia,https://static.eurovision.tv/hb-cgi/images/8d9387d3-056c-418a-a660-c192add9a5b9.svg,Anastasia Prikhodko,https://eurovision.tv/participant/anastasia-prikhodko,Mamo,https://youtube.com/watch?v=vZbHXZtm9Ck,0
Serbia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/serbia,https://static.eurovision.tv/hb-cgi/images/8d9387d0-c64f-4ab5-bd48-6fb25e5b343d.svg,Marko Kon & Milaan,https://eurovision.tv/participant/marko-kon-milaan,Cipela,https://youtube.com/watch?v=DRObP8XE4Ko,0
Slovakia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/slovakia,https://static.eurovision.tv/hb-cgi/images/8d9387cf-e1f3-4a73-bc96-bc9a59cb60a4.svg,Kamil Mikulčík & Nela Pocisková,https://eurovision.tv/participant/kamil-mikulcik-nela-pociskova,Leť Tmou,https://youtube.com/watch?v=R3AzJzA2TT8,0
Slovenia,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/slovenia,https://static.eurovision.tv/hb-cgi/images/8d938784-099c-474a-99fb-51ec49400899.svg,Quartissimo feat. Martina,https://eurovision.tv/participant/quartissimo-feat-martina,Love Symphony,https://youtube.com/watch?v=afPh1slPAsc,0
Spain,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/spain,https://static.eurovision.tv/hb-cgi/images/8d9388b1-0d59-43b4-9777-ec7b545077f3.svg,Soraya,https://eurovision.tv/participant/soraya,La Noche Es Para Mí (The Night Is For Me),https://youtube.com/watch?v=yhqyofl-fP0,0
Sweden,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/sweden,https://static.eurovision.tv/hb-cgi/images/8d938783-ccc9-42c9-9f74-89c607bb7dfe.svg,Malena Ernman,https://eurovision.tv/participant/malena-ernman,La Voix,https://youtube.com/watch?v=5WH2OwJeMBE,0
Switzerland,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/switzerland,https://static.eurovision.tv/hb-cgi/images/8d9388bd-8cdd-47ae-9c14-eba17dcc8d6f.svg,Lovebugs,https://eurovision.tv/participant/lovebugs,The Highest Heights,https://youtube.com/watch?v=-OE5Cww_Jx0,0
The Netherlands,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/the-netherlands,https://static.eurovision.tv/hb-cgi/images/8d9387e9-8829-478f-b985-db9da30f4277.svg,The Toppers,https://eurovision.tv/participant/the-toppers,Shine,https://youtube.com/watch?v=te1w81E8L5A,0
Turkey,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/turkey,https://static.eurovision.tv/hb-cgi/images/8d938782-89b1-436d-b9ae-675e8705d167.svg,Hadise,https://eurovision.tv/participant/hadise,Düm Tek Tek,https://youtube.com/watch?v=-Nx6iVCaix0,0
Ukraine,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/ukraine,https://static.eurovision.tv/hb-cgi/images/8d9386fe-147d-4043-989b-6d8eed8c322e.svg,Svetlana Loboda,https://eurovision.tv/participant/svetlana-loboda,Be my Valentine! (Anti-crisis Girl),https://youtube.com/watch?v=dFqw8_T_mpE,0
United Kingdom,Moscow 2009,https://eurovision.tv/event/moscow-2009,https://static.eurovision.tv/hb-cgi/images/8d917f49-6ee7-4a70-b85c-bb9608b829a2.png,https://eurovision.tv/country/united-kingdom,https://static.eurovision.tv/hb-cgi/images/8d938882-af21-4fa6-b0d6-35a5fa6a0939.svg,Jade Ewen,https://eurovision.tv/participant/jade-ewen,It's My Time,https://youtube.com/watch?v=i-RJc1i9q34,0
Albania,Belgrade 2008,https://eurovision.tv/event/belgrade-2008,https://static.eurovision.tv/hb-cgi/images/8d917f49-5875-4b32-8338-f18f403b8af0.png,https://eurovision.tv/country/albania,https://static.eurovision.tv/hb-cgi/images/8d938a00-42af-4b60-835f-415a224a66cd.svg,Olta Boka,https://eurovision.tv/participant/olta-boka,Zemrën E Lamë Peng,https://www.youtube.com/watch?v=CmvA5kfNsig,1
